building_id,address,dataset,neighborhood,style,image_path,architectural_style,building_form,roof_type,primary_cladding,stories,alteration_level,setting,chimney_present,window,entrance,roof_features,roof_materials,additional_cladding,wall_features,landscape_features,associated_buildings,building_plan,building_category,current_use,original_use,alterations_additions,alterations_entrances,alterations_roof,alterations_cladding,alterations_windows
DIS.13893,3315 N JOSEPHINE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/5DV.8097_3315_N_JOSEPHINE_ST.Jvszjs.jpg,Craftsman,Bungalow,Cross Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Fixed; Window Features: Rowlock Sill - Divided Lights - All  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Grouped Windows  |  Window 4: Window Type: Double/Single Hung; Window Features: Paired Windows - Rowlock Sill,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Corbeled; Brick - Patterned; Shingles in Gable - Decorative,Driveway - Solid; Fence - Rear; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13893,3315 N JOSEPHINE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/5DV.8097_3315_N_JOSEPHINE_ST.Yzn3PM.jpg,Craftsman,Bungalow,Cross Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Fixed; Window Features: Rowlock Sill - Divided Lights - All  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 3: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Grouped Windows  |  Window 4: Window Type: Double/Single Hung; Window Features: Paired Windows - Rowlock Sill,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Corbeled; Brick - Patterned; Shingles in Gable - Decorative,Driveway - Solid; Fence - Rear; Walkway - Concrete,Associated Building and Objects 1: Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.14097,3435 N FILLMORE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.530_3435_N_FILLMORE_ST.ODddFq.jpg,Craftsman,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Belt Course; Brick - Patterned; Foundation - Not Visible; Half-Timbering,Fence - Front; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete; Wall - Retaining,Associated Building and Objects 1: Building/Object Type: Unknown - Not Visible,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.14097,3435 N FILLMORE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.530_3435_N_FILLMORE_ST.BENSfV.jpg,Craftsman,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Belt Course; Brick - Patterned; Foundation - Not Visible; Half-Timbering,Fence - Front; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete; Wall - Retaining,Associated Building and Objects 1: Building/Object Type: Unknown - Not Visible,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.14097,3435 N FILLMORE ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.530_3435_N_FILLMORE_ST.W0OcWw.jpg,Craftsman,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Paired Windows - Rowlock Sill  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - Some - Rowlock Sill,Entrance 1: Entrance Type: Porch - Full Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Belt Course; Brick - Patterned; Foundation - Not Visible; Half-Timbering,Fence - Front; Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete; Wall - Retaining,Associated Building and Objects 1: Building/Object Type: Unknown - Not Visible,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.15051,3535 N ELIZABETH ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.476_3535_N_ELIZABETH_ST.A4w4TT.jpg,No Clear Architectural Style,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,Yes,Window 1: Window Type: Double/Single Hung; Window Location: Front Facade - Left Side; Window Features: Divided Lights - All - Rowlock Sill - Cottage Window; Window Material: Wood  |  Window 2: Window Type: Double/Single Hung; Window Location: Front Facade; Window Features: Cottage Window - Divided Lights - Some - Grouped Windows - Rowlock Sill; Window Material: Wood  |  Window 3: Window Type: Double/Single Hung; Window Location: Left Side; Window Features: Cottage Window - Divided Lights - Some - Paired Windows - Rowlock Sill; Window Material: Wood,Entrance 1: Entrance Type: Stoop - High; Entrance Location: Front Facade; Door Type: Single,Eaves - Boxed,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned; Masonry Bay,Driveway - Solid; Fence - Left Side; Fence - Rear; Wall - Retaining; Walkway - Stone,Associated Building and Objects 1: Building/Object Type: Shed or Storage Building; Building/Object Location: Behind Primary Building; Building/Object Notes: There are at least two sheds behind the house. Date of construction unknown.,Rectangular Plan,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.15051,3535 N ELIZABETH ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.476_3535_N_ELIZABETH_ST.TA2N2a.jpg,No Clear Architectural Style,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,Yes,Window 1: Window Type: Double/Single Hung; Window Location: Front Facade - Left Side; Window Features: Divided Lights - All - Rowlock Sill - Cottage Window; Window Material: Wood  |  Window 2: Window Type: Double/Single Hung; Window Location: Front Facade; Window Features: Cottage Window - Divided Lights - Some - Grouped Windows - Rowlock Sill; Window Material: Wood  |  Window 3: Window Type: Double/Single Hung; Window Location: Left Side; Window Features: Cottage Window - Divided Lights - Some - Paired Windows - Rowlock Sill; Window Material: Wood,Entrance 1: Entrance Type: Stoop - High; Entrance Location: Front Facade; Door Type: Single,Eaves - Boxed,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned; Masonry Bay,Driveway - Solid; Fence - Left Side; Fence - Rear; Wall - Retaining; Walkway - Stone,Associated Building and Objects 1: Building/Object Type: Shed or Storage Building; Building/Object Location: Behind Primary Building; Building/Object Notes: There are at least two sheds behind the house. Date of construction unknown.,Rectangular Plan,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.15051,3535 N ELIZABETH ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.476_3535_N_ELIZABETH_ST.3f1Flr.jpg,No Clear Architectural Style,Bungalow,Hip-on-Gable,Brick,1,5 - Not Altered,Set Back from Sidewalk,Yes,Window 1: Window Type: Double/Single Hung; Window Location: Front Facade - Left Side; Window Features: Divided Lights - All - Rowlock Sill - Cottage Window; Window Material: Wood  |  Window 2: Window Type: Double/Single Hung; Window Location: Front Facade; Window Features: Cottage Window - Divided Lights - Some - Grouped Windows - Rowlock Sill; Window Material: Wood  |  Window 3: Window Type: Double/Single Hung; Window Location: Left Side; Window Features: Cottage Window - Divided Lights - Some - Paired Windows - Rowlock Sill; Window Material: Wood,Entrance 1: Entrance Type: Stoop - High; Entrance Location: Front Facade; Door Type: Single,Eaves - Boxed,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned; Masonry Bay,Driveway - Solid; Fence - Left Side; Fence - Rear; Wall - Retaining; Walkway - Stone,Associated Building and Objects 1: Building/Object Type: Shed or Storage Building; Building/Object Location: Behind Primary Building; Building/Object Notes: There are at least two sheds behind the house. Date of construction unknown.,Rectangular Plan,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13905,3424 N YORK ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.1242_3424_N_YORK_ST.MRHIc0.jpg,No Clear Architectural Style,Bungalow,Hipped,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Casement; Window Features: Divided Lights - All - Paired Windows  |  Window 2: Window Type: Casement; Window Features: Divided Lights - Some - Grouped Windows,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Gable Vents; Shutters,Fence - Front; Walkway - Concrete,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13905,3424 N YORK ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.1242_3424_N_YORK_ST.5BPDU_.jpg,No Clear Architectural Style,Bungalow,Hipped,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Casement; Window Features: Divided Lights - All - Paired Windows  |  Window 2: Window Type: Casement; Window Features: Divided Lights - Some - Grouped Windows,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Gable Vents; Shutters,Fence - Front; Walkway - Concrete,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13905,3424 N YORK ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.1242_3424_N_YORK_ST.o6qIfi.jpg,No Clear Architectural Style,Bungalow,Hipped,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Casement; Window Features: Divided Lights - All - Paired Windows  |  Window 2: Window Type: Casement; Window Features: Divided Lights - Some - Grouped Windows,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Gable Vents; Shutters,Fence - Front; Walkway - Concrete,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.13905,3424 N YORK ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.1242_3424_N_YORK_ST._4yMTL.jpg,No Clear Architectural Style,Bungalow,Hipped,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Casement; Window Features: Divided Lights - All - Paired Windows  |  Window 2: Window Type: Casement; Window Features: Divided Lights - Some - Grouped Windows,Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade,,Shingles - Asphalt,,Gable Vents; Shutters,Fence - Front; Walkway - Concrete,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.15056,3551 N ELIZABETH ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.481_3551_N_ELIZABETH_ST.H5gmFO.jpg,Craftsman,Bungalow,Hipped,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Fixed - Casement; Window Features: Rowlock Sill - Tripartite Window  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 3: Window Type: Casement; Window Features: Rowlock Sill  |  Window 4: Window Type: Fixed; Window Features: Rowlock Sill  |  Window 5: Window Type: Fixed; Window Features: Grouped Windows  |  Window 6: Window Type: Fixed; Window Features: None,Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Fence - Rear; Walkway - Concrete,Associated Building and Objects 1: Building/Object Notes: Possibly historic.; Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.15056,3551 N ELIZABETH ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.481_3551_N_ELIZABETH_ST.oDL8jD.jpg,Craftsman,Bungalow,Hipped,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Fixed - Casement; Window Features: Rowlock Sill - Tripartite Window  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 3: Window Type: Casement; Window Features: Rowlock Sill  |  Window 4: Window Type: Fixed; Window Features: Rowlock Sill  |  Window 5: Window Type: Fixed; Window Features: Grouped Windows  |  Window 6: Window Type: Fixed; Window Features: None,Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Fence - Rear; Walkway - Concrete,Associated Building and Objects 1: Building/Object Notes: Possibly historic.; Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.15056,3551 N ELIZABETH ST,Clayton-Bungalows,Clayton,Bungalows,data/Bungalows/Bungalows - Photos/DDS.481_3551_N_ELIZABETH_ST.iFKx8S.jpg,Craftsman,Bungalow,Hipped,Brick,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Fixed - Casement; Window Features: Rowlock Sill - Tripartite Window  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 3: Window Type: Casement; Window Features: Rowlock Sill  |  Window 4: Window Type: Fixed; Window Features: Rowlock Sill  |  Window 5: Window Type: Fixed; Window Features: Grouped Windows  |  Window 6: Window Type: Fixed; Window Features: None,Entrance 1: Entrance Type: Porch - Partial Width - Recessed; Entrance Location: Front Facade,,Shingles - Asphalt,,Brick - Polychromatic; Brick - Patterned,Fence - Rear; Walkway - Concrete,Associated Building and Objects 1: Building/Object Notes: Possibly historic.; Building/Object Type: Garage - Detached,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.23019,445 N JULIAN ST,Barnum-MinimalTraditional,Barnum,Minimal Traditional,data/Minimal Traditional/Minimal Traditional - Photos/DIS.23019_445_N_JULIAN_ST.20VSxB.jpg,No Clear Architectural Style,Minimal Traditional,Cross Gable,Siding - Aluminum,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Unknown Window Type; Window Features: Divided Lights - All - Slot Window  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - All  |  Window 3: Window Type: Fixed; Window Features: Picture Window,Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade,,Shingles - Asphalt,,,Fence - Left Side; Walkway - Concrete; Wall - Retaining; Fence - Rear,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.23019,445 N JULIAN ST,Barnum-MinimalTraditional,Barnum,Minimal Traditional,data/Minimal Traditional/Minimal Traditional - Photos/DIS.23019_445_N_JULIAN_ST.jk4iI9.jpg,No Clear Architectural Style,Minimal Traditional,Cross Gable,Siding - Aluminum,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Unknown Window Type; Window Features: Divided Lights - All - Slot Window  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - All  |  Window 3: Window Type: Fixed; Window Features: Picture Window,Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade,,Shingles - Asphalt,,,Fence - Left Side; Walkway - Concrete; Wall - Retaining; Fence - Rear,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
DIS.23019,445 N JULIAN ST,Barnum-MinimalTraditional,Barnum,Minimal Traditional,data/Minimal Traditional/Minimal Traditional - Photos/DIS.23019_445_N_JULIAN_ST.PvGBzl.jpg,No Clear Architectural Style,Minimal Traditional,Cross Gable,Siding - Aluminum,1,5 - Not Altered,Set Back from Sidewalk,No,Window 1: Window Type: Unknown Window Type; Window Features: Divided Lights - All - Slot Window  |  Window 2: Window Type: Double/Single Hung; Window Features: Divided Lights - All  |  Window 3: Window Type: Fixed; Window Features: Picture Window,Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade,,Shingles - Asphalt,,,Fence - Left Side; Walkway - Concrete; Wall - Retaining; Fence - Rear,,,Residential,Domestic – Single Dwelling,Domestic – Single Dwelling,None Visible,None Visible,None Visible,None Visible,None Visible
