run,split,field,label,support,default_threshold,default_predicted_positive,default_precision,default_recall,default_f1,best_threshold,best_predicted_positive,best_precision,best_recall,best_f1,f1_delta
phase3_v3_constrained,val,window,Window Type: Casement,736,0.5,1669,0.258838,0.586957,0.359252,0.45,2059,0.251093,0.702446,0.369946,0.010695
phase3_v3_constrained,val,window,Window Type: Unknown Window Type,660,0.5,1871,0.256013,0.725758,0.378507,0.6,1243,0.296058,0.557576,0.386758,0.008251
phase3_v3_constrained,val,window,Window Type: Hopper/Awning,369,0.5,1572,0.168575,0.718157,0.273055,0.65,979,0.203269,0.539295,0.295252,0.022197
phase3_v3_constrained,val,window,Window Features: Rowlock Sill,1880,0.5,1756,0.84738,0.791489,0.818482,0.45,1815,0.837466,0.808511,0.822733,0.004252
phase3_v3_constrained,val,window,Window Features: None,1850,0.5,1791,0.654383,0.633514,0.643779,0.35,2703,0.563818,0.823784,0.669449,0.02567
phase3_v3_constrained,val,window,Window Features: Paired Windows,1525,0.5,1957,0.547777,0.702951,0.615738,0.4,2387,0.507331,0.794098,0.619121,0.003383
phase3_v3_constrained,val,window,Window Features: Tripartite Window,1201,0.5,1701,0.482657,0.683597,0.565817,0.45,1929,0.464489,0.746045,0.572524,0.006707
phase3_v3_constrained,val,window,Window Features: Stone Sill,1198,0.5,1429,0.728481,0.868948,0.792539,0.7,1210,0.804959,0.813022,0.80897,0.016431
phase3_v3_constrained,val,window,Window Features: Divided Lights - All,1123,0.5,1722,0.45935,0.704363,0.556063,0.45,1928,0.44139,0.757792,0.55785,0.001787
phase3_v3_constrained,val,window,Window Features: Dormer Window,873,0.5,1156,0.648789,0.859107,0.73928,0.8,813,0.793358,0.738832,0.765125,0.025844
phase3_v3_constrained,val,window,Window Features: Arch - Segmented,724,0.5,1182,0.550761,0.899171,0.683106,0.6,1101,0.578565,0.879834,0.698082,0.014976
phase3_v3_constrained,val,window,Window Features: Decorative Surround,816,0.5,1676,0.375895,0.772059,0.505618,0.55,1478,0.395805,0.716912,0.510026,0.004408
phase3_v3_constrained,val,window,Window Features: Grouped Windows,709,0.5,1622,0.310727,0.71086,0.432432,0.55,1354,0.338257,0.64598,0.444014,0.011581
phase3_v3_constrained,val,window,Window Features: Picture Window,558,0.5,1440,0.252083,0.650538,0.363363,0.65,640,0.367188,0.421147,0.392321,0.028957
phase3_v3_constrained,val,window,Window Features: Divided Lights - Some,466,0.5,1507,0.214333,0.693133,0.32742,0.55,1314,0.230594,0.650215,0.340449,0.013029
phase3_v3_constrained,val,window,Window Features: Transom,281,0.5,958,0.135699,0.462633,0.209847,0.5,958,0.135699,0.462633,0.209847,0.0
phase3_v3_constrained,val,window,Window Features: Stained/Leaded Glass,294,0.5,848,0.264151,0.761905,0.392294,0.75,404,0.366337,0.503401,0.424069,0.031775
phase3_v3_constrained,val,window,Window Features: Arch - Rounded,203,0.5,676,0.232249,0.773399,0.357224,0.75,396,0.310606,0.605911,0.410684,0.05346
phase3_v3_constrained,val,window,Window Features: Cottage Window,172,0.5,697,0.197991,0.802326,0.317606,0.8,243,0.337449,0.476744,0.395181,0.077574
phase3_v3_constrained,val,window,Window Features: Oriel Window,107,0.5,240,0.075,0.168224,0.103746,0.4,437,0.080092,0.327103,0.128676,0.02493
phase3_v3_constrained,val,window,Window Features: Stone Lintel,101,0.5,318,0.103774,0.326733,0.157518,0.45,421,0.104513,0.435644,0.168582,0.011064
phase3_v3_constrained,val,window,Window Features: Ribbon Windows,67,0.5,33,0.090909,0.044776,0.06,0.3,211,0.080569,0.253731,0.122302,0.062302
phase3_v3_constrained,val,entrance,Entrance Location: Front Facade,3505,0.5,2456,0.934446,0.654779,0.770005,0.1,3903,0.897515,0.999429,0.945734,0.175729
phase3_v3_constrained,val,entrance,Entrance Location: Right Side,588,0.5,1567,0.227824,0.607143,0.331323,0.55,1207,0.247722,0.508503,0.333148,0.001825
phase3_v3_constrained,val,entrance,Entrance Location: Left Side,542,0.5,1713,0.207823,0.656827,0.315743,0.6,987,0.250253,0.45572,0.323087,0.007344
phase3_v3_constrained,val,entrance,Entrance Location: Rear,372,0.5,1321,0.17184,0.610215,0.268163,0.7,709,0.239774,0.456989,0.314524,0.046361
phase3_v3_constrained,val,entrance,Entrance Type: Porch - Partial Width - Projecting,1274,0.5,1474,0.483039,0.55887,0.518195,0.35,2640,0.404545,0.838305,0.545733,0.027538
phase3_v3_constrained,val,entrance,Entrance Type: Porch - Full Width - Projecting,1120,0.5,1750,0.544571,0.850893,0.664111,0.6,1545,0.582524,0.803571,0.675422,0.011311
phase3_v3_constrained,val,entrance,Entrance Type: Stoop - Low,664,0.5,1766,0.273499,0.72741,0.397531,0.5,1766,0.273499,0.72741,0.397531,0.0
phase3_v3_constrained,val,entrance,Entrance Type: Flush Door - No Porch or Stoop,646,0.5,1539,0.254711,0.606811,0.35881,0.55,1248,0.273237,0.527864,0.360084,0.001274
phase3_v3_constrained,val,entrance,Entrance Type: Porch - Partial Width - Recessed,425,0.5,1141,0.274321,0.736471,0.399745,0.65,767,0.340287,0.614118,0.437919,0.038175
phase3_v3_constrained,val,entrance,Entrance Type: Stoop - High,452,0.5,1258,0.228935,0.637168,0.336842,0.65,616,0.301948,0.411504,0.348315,0.011473
phase3_v3_constrained,val,entrance,Entrance Type: Other Entrance Type,118,0.5,280,0.082143,0.194915,0.115578,0.5,280,0.082143,0.194915,0.115578,0.0
phase3_v3_constrained,val,entrance,Entrance Type: Unknown - Not Visible,99,0.5,69,0.057971,0.040404,0.047619,0.25,611,0.057283,0.353535,0.098592,0.050973
phase3_v3_constrained,val,entrance,Entrance Type: Storefront,101,0.5,176,0.5,0.871287,0.635379,0.85,99,0.737374,0.722772,0.73,0.094621
phase3_v3_constrained,val,entrance,Entrance Type: Vehicular Entrance,56,0.5,145,0.303448,0.785714,0.437811,0.7,102,0.382353,0.696429,0.493671,0.05586
phase3_v3_constrained,val,associated_buildings,Building/Object Type: Garage - Detached,1833,0.5,2371,0.585829,0.757774,0.660799,0.35,2969,0.550354,0.891435,0.68055,0.019751
phase3_v3_constrained,val,associated_buildings,Building/Object Type: Shed or Storage Building,419,0.5,1626,0.134071,0.520286,0.213203,0.4,2443,0.129758,0.756563,0.221523,0.00832
phase3_v3_constrained,val,associated_buildings,Building/Object Type: Garage – Attached,268,0.5,1123,0.157614,0.660448,0.254493,0.8,340,0.285294,0.36194,0.319079,0.064586
phase3_v3_constrained,val,associated_buildings,Building/Object Type: Carport - Attached,95,0.5,26,0.192308,0.052632,0.082645,0.4,72,0.194444,0.147368,0.167665,0.08502
phase3_v3_constrained,val,associated_buildings,Building/Object Type: Accessory Dwelling Unit (ADU),86,0.5,11,0.0,0.0,0.0,0.3,355,0.067606,0.27907,0.108844,0.108844
phase3_v3_constrained,val,associated_buildings,Building/Object Type: Other Associated Building or Object,110,0.5,5,0.4,0.018182,0.034783,0.15,729,0.042524,0.281818,0.073897,0.039115
phase3_v3_constrained,val,roof_materials,Shingles - Asphalt,3465,0.5,3296,0.984527,0.936508,0.959917,0.1,3465,0.977201,0.977201,0.977201,0.017283
phase3_v3_constrained,val,roof_materials,Unknown Roof Material,399,0.5,520,0.686538,0.894737,0.776931,0.9,412,0.815534,0.842105,0.828607,0.051675
phase3_v3_constrained,val,roof_materials,Terra Cotta Tile,8,0.5,137,0.029197,0.5,0.055172,0.9,18,0.111111,0.25,0.153846,0.098674
phase3_v3_constrained,val,roof_materials,Metal,29,0.5,72,0.180556,0.448276,0.257426,0.9,27,0.407407,0.37931,0.392857,0.135431
phase3_v3_constrained,val,roof_materials,Shingles - Concrete,14,0.5,0,0.0,0.0,0.0,0.25,48,0.041667,0.142857,0.064516,0.064516
phase3_v3_constrained,val,roof_materials,Rare Roof Material,13,0.5,11,0.0,0.0,0.0,0.3,41,0.04878,0.153846,0.074074,0.074074
