run,split,field,label,support,predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1
phase3_v4_protected_adaptation,val,window,Window Type: Double/Single Hung,2839,2657,2364,293,475,773,0.889725,0.832688,0.860262
phase3_v4_protected_adaptation,val,window,Window Type: Fixed,2817,2067,1715,352,1102,736,0.829705,0.608804,0.702293
phase3_v4_protected_adaptation,val,window,Window Type: Sliding,2197,1655,1227,428,970,1280,0.74139,0.558489,0.637072
phase3_v4_protected_adaptation,val,window,Window Type: Casement,736,1719,445,1274,291,1895,0.258871,0.60462,0.362525
phase3_v4_protected_adaptation,val,window,Window Type: Unknown Window Type,660,1776,474,1302,186,1943,0.266892,0.718182,0.389163
phase3_v4_protected_adaptation,val,window,Window Type: Hopper/Awning,369,1618,273,1345,96,2191,0.168727,0.739837,0.274786
phase3_v4_protected_adaptation,val,window,Window Features: Rowlock Sill,1880,1736,1490,246,390,1779,0.858295,0.792553,0.824115
phase3_v4_protected_adaptation,val,window,Window Features: None,1850,1796,1181,615,669,1440,0.657572,0.638378,0.647833
phase3_v4_protected_adaptation,val,window,Window Features: Paired Windows,1525,1953,1074,879,451,1501,0.549923,0.704262,0.617596
phase3_v4_protected_adaptation,val,window,Window Features: Tripartite Window,1201,1513,760,753,441,1951,0.502313,0.632806,0.560059
phase3_v4_protected_adaptation,val,window,Window Features: Stone Sill,1198,1416,1040,376,158,2331,0.734463,0.868114,0.795715
phase3_v4_protected_adaptation,val,window,Window Features: Divided Lights - All,1123,1660,771,889,352,1893,0.464458,0.686554,0.554078
phase3_v4_protected_adaptation,val,window,Window Features: Dormer Window,873,1119,736,383,137,2649,0.65773,0.84307,0.738956
phase3_v4_protected_adaptation,val,window,Window Features: Arch - Segmented,724,1153,651,502,73,2679,0.564614,0.899171,0.69366
phase3_v4_protected_adaptation,val,window,Window Features: Decorative Surround,816,1421,575,846,241,2243,0.404645,0.704657,0.514081
phase3_v4_protected_adaptation,val,window,Window Features: Grouped Windows,709,1369,456,913,253,2283,0.33309,0.643159,0.438884
phase3_v4_protected_adaptation,val,window,Window Features: Picture Window,558,1280,338,942,220,2405,0.264062,0.605735,0.367791
phase3_v4_protected_adaptation,val,window,Window Features: Divided Lights - Some,466,1439,320,1119,146,2320,0.222377,0.686695,0.335958
phase3_v4_protected_adaptation,val,window,Window Features: Transom,281,1020,139,881,142,2743,0.136275,0.494662,0.213682
phase3_v4_protected_adaptation,val,window,Window Features: Stained/Leaded Glass,294,824,221,603,73,3008,0.268204,0.751701,0.395349
phase3_v4_protected_adaptation,val,window,Window Features: Arch - Rounded,203,592,146,446,57,3256,0.246622,0.719212,0.367296
phase3_v4_protected_adaptation,val,window,Window Features: Cottage Window,172,686,139,547,33,3186,0.202624,0.80814,0.324009
phase3_v4_protected_adaptation,val,window,Window Features: Oriel Window,107,202,14,188,93,3610,0.069307,0.130841,0.090615
phase3_v4_protected_adaptation,val,window,Window Features: Stone Lintel,101,337,39,298,62,3506,0.115727,0.386139,0.178082
phase3_v4_protected_adaptation,val,window,Window Features: Ribbon Windows,67,18,2,16,65,3822,0.111111,0.029851,0.047059
phase3_v4_protected_adaptation,val,entrance,Entrance Location: Front Facade,3505,2329,2181,148,1324,252,0.936453,0.622254,0.747686
phase3_v4_protected_adaptation,val,entrance,Entrance Location: Right Side,588,1726,375,1351,213,1966,0.217265,0.637755,0.324114
phase3_v4_protected_adaptation,val,entrance,Entrance Location: Left Side,542,1738,359,1379,183,1984,0.206559,0.662362,0.314912
phase3_v4_protected_adaptation,val,entrance,Entrance Location: Rear,372,1429,241,1188,131,2345,0.168649,0.647849,0.267629
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Porch - Partial Width - Projecting,1274,1581,747,834,527,1797,0.472486,0.586342,0.523292
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Porch - Full Width - Projecting,1120,1662,938,724,182,2061,0.56438,0.8375,0.674335
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Stoop - Low,664,1690,467,1223,197,2018,0.276331,0.703313,0.396771
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Flush Door - No Porch or Stoop,646,1522,392,1130,254,2129,0.257556,0.606811,0.361624
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Porch - Partial Width - Recessed,425,1189,318,871,107,2609,0.267452,0.748235,0.394052
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Stoop - High,452,1325,300,1025,152,2428,0.226415,0.663717,0.337648
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Other Entrance Type,118,242,22,220,96,3567,0.090909,0.186441,0.122222
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Unknown - Not Visible,99,78,6,72,93,3734,0.076923,0.060606,0.067797
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Storefront,101,167,85,82,16,3722,0.508982,0.841584,0.634328
phase3_v4_protected_adaptation,val,entrance,Entrance Type: Vehicular Entrance,56,137,43,94,13,3755,0.313869,0.767857,0.445596
phase3_v4_protected_adaptation,val,associated_buildings,Building/Object Type: Garage - Detached,1833,2294,1347,947,486,1125,0.587184,0.734861,0.652774
phase3_v4_protected_adaptation,val,associated_buildings,Building/Object Type: Shed or Storage Building,419,1738,242,1496,177,1990,0.139241,0.577566,0.224386
phase3_v4_protected_adaptation,val,associated_buildings,Building/Object Type: Garage – Attached,268,1054,167,887,101,2750,0.158444,0.623134,0.252648
phase3_v4_protected_adaptation,val,associated_buildings,Building/Object Type: Carport - Attached,95,38,6,32,89,3778,0.157895,0.063158,0.090226
phase3_v4_protected_adaptation,val,associated_buildings,Building/Object Type: Accessory Dwelling Unit (ADU),86,1,0,1,86,3818,0.0,0.0,0.0
phase3_v4_protected_adaptation,val,associated_buildings,Building/Object Type: Other Associated Building or Object,110,16,3,13,107,3782,0.1875,0.027273,0.047619
phase3_v4_protected_adaptation,val,roof_materials,Shingles - Asphalt,3465,3288,3239,49,226,391,0.985097,0.934776,0.959277
phase3_v4_protected_adaptation,val,roof_materials,Unknown Roof Material,399,537,358,179,41,3327,0.666667,0.897243,0.764957
phase3_v4_protected_adaptation,val,roof_materials,Terra Cotta Tile,8,91,3,88,5,3809,0.032967,0.375,0.060606
phase3_v4_protected_adaptation,val,roof_materials,Metal,29,75,13,62,16,3814,0.173333,0.448276,0.25
phase3_v4_protected_adaptation,val,roof_materials,Shingles - Concrete,14,0,0,0,14,3891,0.0,0.0,0.0
phase3_v4_protected_adaptation,val,roof_materials,Rare Roof Material,13,9,0,9,13,3883,0.0,0.0,0.0
