"id"	"status"	"address"	"attributesDefinitionId"	"surveyLevel"	"surveyedAt"	"createdAt"	"updatedAt"	"yearBuilt"	"smithsonianNumber"	"city"	"township"	"range"	"section"	"legalDescription"	"additionName"	"block"	"lot"	"platYear"	"utmEasting"	"utmNorthing"	"streetNumber"	"streetName"	"streetDirection"	"surveyor"	"additionalNeeded"	"quarterSection"	"quarterQuarterSection"	"regionName"	"Historical Notes"	"Alteration-Other"	"Historic Name"	"Year Built"	"Year Built Source"	"Architect"	"Architect Source"	"Builder"	"Builder Source"	"Original Owner"	"Original Owner Source"	"Historical Background"	"Sources of Information"	"Period of Significance"	"Statement of Significance"	"Assessment of Integrity"	"NR District Potential"	"Building Plan"	"Roof Features"	"Additional Cladding"	"Local Evaluation - Individual"	"Local Criteria"	"Local Evaluation - District"	"NR Evaluation - Individual"	"NR Evaluation - District"	"NR Areas of Significance"	"NR Criteria"	"Original Use"	"Current Use"	"Stories"	"Building Category"	"Building Form"	"Architectural Style"	"Setting"	"Landscape Features"	"Roof Type"	"Roof Materials"	"Primary Cladding"	"Wall Features"	"Alteration Level"	"Alterations-Additions"	"Alterations-Entrances"	"Alterations-Roof"	"Alterations-Cladding"	"Alterations-Windows"	"Integrity Rating"	"General Architectural Notes"	"Window"	"Entrance"	"Associated Building and Objects"	"Chimney"
”DIS.13494"	"APPROVED"	"3400 E MARTIN LUTHER KING BLVD"	"41"	"Basic Survey"	"1687880582"	"1682106376"	"1687896212"	"1951"	"5DV.16012"	"Denver"	"3S"	"68W"	"25"	"L 21 BLK 3 CLAYTON PARK ADD"	"CLAYTON PARK ADDITION"	""	""	"1946"	"504488"	"4401292"	"3400"	"MARTIN LUTHER KING"	"E"	"Cindy Wolf"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Solid; Fence - Rear; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Awnings; Brick - Patterned; Other Wall Details"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"Permastone around front entrance."	" Window 1: Window Type: Fixed - Casement; Window Features: Divided Lights - Some - Transom - Tripartite Window - Rowlock Sill  |  Window 2: Window Type: Casement - Fixed; Window Features: Divided Lights - Some - Transom - Grouped Windows  |  Window 3: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Vehicular Entrance; Entrance Location: Front Facade "	" Associated Building and Objects 1: Building/Object Type: Garage – Attached "	
”DIS.13573"	"APPROVED"	"3008 N MILWAUKEE ST"	"41"	"Basic Survey"	"1683645653"	"1682107151"	"1683666676"	"1942"	"5DV.15651"	"Denver"	"3S"	"68W"	"25"	"L 12 & 13 BLK 10 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"504103"	"4401097"	"3008"	"MILWAUKEE"	"N"	"Judy Gordon"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Ribbon; Fence - Rear; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Tripartite Window - Divided Lights - All  |  Window 2: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Transom - Paired Windows  |  Window 3: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Paired Windows "	" Entrance 1: Entrance Type: Stoop - High; Entrance Location: Front Facade "	" Associated Building and Objects 1: Building/Object Type: Carport - Attached  |  Associated Building and Objects 2: Building/Object Type: Garage – Attached "	
”DIS.13363"	"APPROVED"	"3958 N HADDON RD"	"41"	"Basic Survey"	"1688054139"	"1682106263"	"1688069718"	"1944"	"5DV.16152"	"Denver"	"3S"	"68W"	"25"	"TALBOT & DORAN HADDON MANOR L30"	"TALBOT AND DORAN HADDON MANOR"	""	""	"1928"	"504963"	"4400643"	"3958"	"HADDON"	"N"	"Patrick Salazar"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Corner; Set Back from Sidewalk"	"Denver Roll; Driveway - Solid; Fence - Rear; Walkway - Concrete"	"Side Gable"	"Shingles - Asphalt"	"Brick"	"None"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All - Rowlock Sill  |  Window 2: Window Type: Fixed; Window Features: None "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Rear "	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building "	
”DIS.13296"	"APPROVED"	"3100 N FILLMORE ST"	"41"	"Basic Survey"	"1683652615"	"1682106207"	"1683668319"	"1945"	"5DV.15853"	"Denver"	"3S"	"68W"	"25"	"L 14 & 15 EXC REAR 8FT TO CITY BLK 6 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"503997"	"4401222"	"3100"	"FILLMORE"	"N"	"Judy Gordon"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Corner; Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete; Driveway - Solid"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Foundation - Concrete; Awnings"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Rowlock Sill - Divided Lights - All  |  Window 2: Window Type: Double/Single Hung; Window Features: Rowlock Sill "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade  |  Entrance 2: Entrance Type: Flush Door - No Porch or Stoop; Entrance Location: Left Side "	" Associated Building and Objects 1: Building/Object Type: Garage - Detached "	
”DIS.13579"	"APPROVED"	"3038 N MILWAUKEE ST"	"41"	"Basic Survey"	"1683646185"	"1682107151"	"1683756147"	"1945"	"5DV.15747"	"Denver"	"3S"	"68W"	"25"	"L 6 & S 16.755 FT OF L 5 & N 16.756 FT OF L 7 EXC REAR 8 FT TO CITY BLK 10 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"504102"	"4401147"	"3038"	"MILWAUKEE"	"N"	"Denise Ross"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Brick - Patterned"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All - Stone Lintel - Stone Sill "	" Entrance 1: Entrance Type: Porch - Partial Width - Projecting; Entrance Location: Front Facade "		
”DIS.13303"	"APPROVED"	"3135 N FILLMORE ST"	"41"	"Basic Survey"	"1683653855"	"1682106207"	"1683821287"	"1945"	"5DV.15933"	"Denver"	"3S"	"68W"	"25"	"L 25 & S 20.107FT OF L  26& N 10.052FT OF L 24 EXC REAR 8FT TO CITY BLK 5 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"503944"	"4401289"	"3135"	"FILLMORE"	"N"	"Judy Trompeter"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Front; Fence - Left Side; Fence - Rear; Walkway - Concrete"	"Cross Gable"	"Shingles - Asphalt"	"Brick"	"Foundation - Concrete; Shutters"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Divided Lights - All - Rowlock Sill "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Porch - Partial Width - Recessed "	" Associated Building and Objects 1: Building/Object Type: Shed or Storage Building "	
”DIS.13280"	"APPROVED"	"2948 N FILLMORE ST"	"41"	"Basic Survey"	"1683651670"	"1682106207"	"1683829675"	"1952"	"5DV.15592"	"Denver"	"3S"	"68W"	"25"	"L 3 & 4 BLK 22 BERGERS ADD"	"Bergers Addition to Denver"	""	""	"1871"	"504003"	"4401028"	"2948"	"FILLMORE"	"N"	"Judy Trompeter"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Denver Roll; Fence - Rear; Wall - Retaining; Walkway - Concrete"	"Cross Gable"	"Shingles - Asphalt"	"Brick"	"Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Casement - Fixed; Window Features: Paired Windows - Rowlock Sill  |  Window 2: Window Features: Rowlock Sill - Transom - Paired Windows; Window Type: Casement - Fixed  |  Window 3: Window Type: Casement - Fixed; Window Features: Divided Lights - Some - Rowlock Sill - Transom - Tripartite Window "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "		
”DIS.13679"	"APPROVED"	"2720 N SAINT PAUL ST"	"41"	"Basic Survey"	"1683048106"	"1682107151"	"1684531587"	"1944"	"5DV.15175"	"Denver"	"3S"	"68W"	"25"	"L 10 & 11 & S 5.012 FT OF L 9 EXC REAR 8 FT TO CITY BLK 9 ASHLEYS ADD"	"Ashleys Addition to the City of Denver"	""	""	"1874"	"504208"	"4400696"	"2720"	"SAINT PAUL"	"N"	"Judy Gordon"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Left Side; Fence - Rear; Fence - Right Side; Walkway - Concrete; Driveway - Ribbon"	"Compound Roof; Hipped; Front Gable"	"Shingles - Wood"	"Brick"	"Brick - Polychromatic; Foundation - Concrete"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"		" Window 1: Window Type: Double/Single Hung; Window Features: Rowlock Sill  |  Window 2: Window Type: Hopper/Awning; Window Features: Divided Lights - All - Stone Lintel "	" Entrance 1: Entrance Type: Stoop - High; Entrance Location: Left Side "	" Associated Building and Objects 1: Building/Object Type: Other Associated Building or Object "	
”DIS.12851"	"APPROVED"	"3601 E 31ST AVE"	"41"	"Basic Survey"	"1687626961"	"1682106089"	"1687645230"	"1951"	"5DV.16082"	"Denver"	"3S"	"68W"	"25"	"CLAYTON PARK ADD B8 L20 & 21 DIF BOOK 0127-523"	"CLAYTON PARK ADDITION"	""	""	"1946"	"504728"	"4401251"	"3601"	"31ST"	"E"	"Dianna Litvak"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Driveway - Solid; Fence - Rear; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"None"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"Window 3 is glass block."	" Window 1: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Tripartite Window - Transom  |  Window 2: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Paired Windows  |  Window 3: Window Type: Fixed; Window Features: Rowlock Sill "	" Entrance 1: Entrance Type: Stoop - Low; Entrance Location: Front Facade "		
”DIS.12855"	"APPROVED"	"3671 E 31ST AVE"	"41"	"Basic Survey"	"1687627976"	"1682106089"	"1687803560"	"1951"	"5DV.16103"	"Denver"	"3S"	"68W"	"25"	"CLAYTON PARK ADD B8 L16 &17 DIF BOOK 2524-297"	"CLAYTON PARK ADDITION"	""	""	"1946"	"504791"	"4401238"	"3671"	"31ST"	"E"	"Denise Ross"	"false"	"null"	"null"	"Skyland"																												"Domestic – Single Dwelling"	"Domestic – Single Dwelling"	"1"	"Residential"	"Minimal Traditional"	"No Clear Architectural Style"	"Set Back from Sidewalk"	"Fence - Rear; Walkway - Concrete"	"Hipped"	"Shingles - Asphalt"	"Brick"	"Other Wall Details"	"5 - Not Altered"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"None Visible"	"5 - Not Altered"	"Open eaves and exposed rafter tails. Permastone on lower portion of exterior. Window 3 is glass block."	" Window 1: Window Type: Casement - Fixed; Window Features: Divided Lights - Some - Rowlock Sill - Tripartite Window - Transom  |  Window 2: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Paired Windows  |  Window 3: Window Type: Fixed; Window Features: Rowlock Sill  |  Window 4: Window Type: Casement - Fixed; Window Features: Rowlock Sill - Grouped Windows "	" Entrance 1: Entrance Location: Front Facade; Entrance Type: Stoop - Low "		
